region,regionID,FHG_10KBP,FHG_8KBP,FHG_6KBP,FHG_4KBP,FHG_3KBP,FHG_2KBP,FHG_1KBP,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAGR_10KBP,EXAGR_8KBP,EXAGR_6KBP,EXAGR_4KBP,EXAGR_3KBP,EXAG_2KBP,EXAG_1KBP,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10KBP,INAG_8KBP,INAG_6KBP,INAG_4KBP,INAG_3KBP,INAG_2KBP,INAG_1KBP,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10KBP,PAS_8KBP,PAS_6KBP,PAS_4KBP,PAS_3KBP,PAS_2KBP,PAS_1KBP,PAS_1500CE,PAS_1750CE,PAS_1850CE
Central Russia,r50,3,3,3,3,2,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,0,0,0,1,2,2,2,2,2,2,0,0,0,1,3,3,3,3,3,3
Southern Russia,r51,3,3,1,1,2,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,0,0,1,2,1,2,3,3,3,3,0,1,1,2,3,3,3,3,3,3
Volga,r52,3,3,3,2,2,1,1,1,1,1,0,0,1,1,1,1,1,1,2,2,0,0,0,1,2,2,2,2,2,2,0,0,0,2,3,3,3,3,3,3
Urals,r53,3,3,3,3,3,3,3,3,2,2,0,0,0,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,2,2,2,2,2
Siberia,r54,3,3,3,3,2,2,2,2,2,2,0,0,0,1,2,2,1,1,2,2,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,2,3,3,2,2
Far Eastern Russia,r55,3,3,3,3,2,2,3,3,3,3,0,0,0,2,2,2,2,2,2,2,0,0,0,1,2,2,2,2,1,1,0,0,0,1,2,2,2,2,2,2
Turkey,r56,3,2,1,1,1,1,1,1,1,1,1,2,2,3,3,2,3,3,2,2,0,1,2,2,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3
The Caucasus,r57,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3,2,2,1,1,1,0,1,1,2,3,2,2,3,2,2,1,2,2,2,3,3,3,3,3,2
Syria and Cyprus and the Levant,r58,3,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,1,2,3,3,3,3,3,3,2,3,1,2,3,3,3,3,3,3,3,3
Iraq,r59,3,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,2,1,1,0,1,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3
Northwestern Iran,r60,3,2,1,1,1,1,1,1,1,1,0,3,2,1,1,1,1,1,2,2,0,0,1,3,2,1,1,1,1,2,0,3,3,3,3,2,2,2,3,3
Western Iran,r61,3,2,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,1,3,1,0,1,3,3,3,2,2,1,2,2,2,3,3,3,3,3,3,2,3,3
Eastern Iran,r62,3,3,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,2,1,2,2,2,2,3,3,3,3,3,3,3,3
Arabia,r63,2,2,2,2,2,2,2,1,1,1,0,0,0,2,2,1,1,1,1,1,0,0,0,2,2,2,2,1,1,1,0,2,2,2,2,3,3,2,2,2
Yemen and Oman and the UAE,r64,3,3,2,2,1,1,2,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2
Morocco,r65,1,1,1,1,1,1,1,1,2,1,0,0,1,1,1,2,2,2,2,2,0,0,0,0,0,1,2,2,2,3,0,0,1,3,2,2,2,2,2,3
Northern Algeria,r66,3,3,3,1,3,3,3,3,3,3,0,0,0,2,0,1,2,2,2,2,0,0,1,2,0,3,2,2,2,2,1,1,1,2,2,3,3,3,3,3
Tunisia,r67,3,3,3,3,3,3,3,3,3,3,0,0,0,2,2,3,2,2,2,2,0,0,0,1,1,3,2,2,2,2,1,2,2,3,3,2,3,2,2,2
Southern Algeria,r68,3,3,2,1,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3
Northwestern Libya,r69,3,3,3,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,0,0,2,2,2,2,2,3,3,3
Southern Libya,r70,3,3,2,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,2,3,2,2,3,3,3,3
Northeastern Libya,r71,3,3,2,1,1,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,0,0,1,1,1,2,2,1,1,1,0,1,3,3,3,3,3,2,2,2
Egypt,r72,3,3,2,1,1,1,2,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,2,2,2,3,2,2,2,0,1,2,2,1,2,3,2,2,2
Sudan,r73,3,3,3,1,2,2,1,0,0,0,0,0,2,2,3,3,2,2,1,1,0,0,0,1,1,1,1,2,2,2,0,1,2,2,3,3,3,2,2,2
Mauritania,r74,3,3,3,2,2,2,1,2,1,1,0,0,0,1,2,2,1,0,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,3,3,3,3,3,3,3
Senegal and The Gambia and Guinea-Bissau,r75,3,3,3,3,3,2,2,2,2,2,0,0,1,0,0,3,3,2,3,3,0,0,0,0,0,1,2,3,3,3,2,2,3,0,0,3,3,3,3,3
Mali,r76,3,3,3,3,3,2,2,2,2,1,0,0,0,1,3,3,3,1,3,3,0,0,0,0,0,2,3,3,3,2,0,0,0,3,3,3,3,3,3,3
Guinea and Sierra Leone and Liberia and Cote d'Ivoire,r77,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,2,3,3,3,0,0,0,0,0,0,0,0,0,0
Burkina Faso,r78,3,3,3,3,3,3,2,2,1,1,0,0,0,1,2,3,1,1,1,3,0,0,0,0,0,1,3,3,2,2,0,0,0,0,0,2,2,3,3,3
Ghana and Togo and Benin,r79,3,3,3,3,3,3,2,2,3,3,0,0,0,3,1,2,2,1,3,3,0,0,0,0,0,0,2,2,2,3,0,0,0,0,0,1,2,2,3,3
Niger,r80,3,3,2,2,2,2,2,2,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,0,2,2,3,3,3,3,2,2
Nigeria,r81,3,3,3,3,3,3,2,2,1,1,0,0,0,0,2,3,2,2,2,3,0,0,0,0,0,0,3,3,1,1,0,0,0,0,2,2,2,2,2,3
Chad and Central African Republic,r82,3,3,3,3,3,2,2,2,1,1,0,0,0,0,0,2,3,2,2,3,0,0,0,0,0,0,1,2,0,0,0,0,1,2,2,3,3,3,3,3
Cameroon and Equatorial Guinea and Gabon and Republic of the Congo,r83,3,3,3,1,2,2,2,2,2,2,0,0,1,1,2,3,3,3,3,2,0,0,3,0,1,1,2,2,2,2,0,0,2,1,1,1,1,2,2,2
Democratic Republic of the Congo,r84,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0
Angola,r85,3,3,3,3,3,3,3,2,1,1,0,0,0,0,1,2,2,3,3,3,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,2,2,2,2
Namibia,r86,3,3,3,3,3,3,2,1,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,2,2
Botswana,r87,3,3,3,3,3,3,2,2,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,2,3
South Africa,r88,3,3,3,3,3,3,2,2,2,2,0,0,0,1,0,0,2,2,2,2,0,0,0,1,0,0,1,2,2,2,0,0,0,2,0,1,2,2,2,2
South Sudan,r89,3,3,3,3,2,2,1,1,1,1,0,0,0,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3
Eritrea and Djibouti,r90,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3,2,2,2,2,0,0,0,0,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2
Ethiopia,r91,3,3,2,1,1,2,1,3,2,2,0,0,0,1,2,3,3,2,3,2,0,0,0,0,1,1,2,2,3,2,0,0,1,2,2,3,3,3,3,3
Uganda and Rwanda and Burundi,r92,1,1,2,2,2,2,2,1,1,1,0,0,0,0,0,2,2,3,3,3,0,0,0,0,0,1,1,2,2,2,0,0,0,1,2,2,2,2,2,2
Kenya,r93,2,2,2,2,3,2,2,2,2,1,0,0,0,0,0,1,2,3,3,2,0,0,0,0,0,0,1,2,2,2,0,0,1,2,2,3,3,3,3,3
Somalia,r94,3,3,3,3,3,3,2,2,2,2,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,3,3,3,3,3
Tanzania,r95,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,2,2,3,2,0,0,0,0,2,2,2,2,2,2
Zambia and Zimbabwe and Malawi and Mozambique,r96,3,3,3,3,3,3,3,3,2,2,0,0,0,0,0,1,2,3,3,2,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,1,2,2,2,2
Madagascar,r97,0,0,0,1,1,1,1,1,3,3,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,1,2,3,3
Northwestern Kazakhstan,r98,3,3,3,1,1,2,0,0,0,0,0,0,1,0,1,2,1,3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,3,2,3,3,3
Western Central Asia,r99,3,3,3,2,1,1,1,1,0,0,0,0,0,3,3,2,2,3,3,2,0,0,0,2,3,3,3,3,3,3,0,0,1,3,3,3,3,3,3,2
Northern Kazakhstan,r100,3,3,2,2,1,1,1,1,1,1,0,0,0,1,2,3,3,3,3,3,0,0,0,2,3,3,3,3,3,3,0,0,2,3,3,3,3,3,3,3
Eastern Kazakhstan,r101,1,1,2,2,1,1,1,1,1,1,0,0,0,1,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,0,0,0,2,2,3,3,3,3,3
